id,role,tier,category,action,wording,frequency,intensity,evidence_to_monitor,whole_plan,linked_activities
R-AH-01,Allied Health Professional,3,Coordination and planning,Give school-implementable recommendations,"The {role} should give the school recommendations for {preferredName} that can be implemented in an ordinary classroom by ordinary staff, naming who does what and how often, and review them with the school at least annually with family consent, so advice is usable rather than aspirational.",at each report and reviewed at least annually,Written recommendations with named roles and frequencies,recommendations implemented; recommendations that could not be implemented and why,yes,
R-AH-02,Allied Health Professional,3,Coordination and planning,Observe in the real setting before advising,"The {role} should observe {preferredName} in the actual classroom or setting before finalising recommendations, and adjust them to what the environment allows, so the advice fits the school {preferredName} attends.",at least once before each set of recommendations,In-setting observation followed by revised written advice,what the observation changed in the advice,yes,
R-AH-03,Allied Health Professional,3,Staff capability and briefing,Train and monitor the staff implementing the technique,"The {role} should train the school staff who implement any prescribed technique, programme or equipment for {preferredName}, observe them doing it, and review it at an agreed interval, so the technique is delivered as intended and safely.","initial training, observation within the first month, then reviewed each semester",Hands-on training with observation and sign-off,staff trained and observed; fidelity to the technique,,Undertaking Tasks Independently; Positioning One’s Body
R-BEH-01,Behaviour Lead,3,Behaviour and engagement,Co-write the behaviour support plan,"The {role} should write {preferredName}'s behaviour support plan with {preferredName}, the family and the teaching team, naming the triggers, the early signs, the agreed response and who does what, so every adult responds the same way rather than to their own judgement in the moment.",written once and reviewed each term or after any significant incident,"Documented plan with named responders, known to everyone who teaches the student",how closely the agreed response was followed; incidents and their triggers,,Managing One’s Own Behaviour
R-BEH-02,Behaviour Lead,2,Staff capability and briefing,Coach staff in the agreed response,"The {role} should coach {preferredName}'s teachers in the agreed response and de-escalation approach, observe it in practice and give feedback, so the plan is used as written rather than as each adult remembers it.","initial coaching, then observation and feedback once a term","Modelling, observation and feedback with the staff involved",consistency of response across staff; escalation frequency,,Managing One’s Own Behaviour
R-BEH-03,Behaviour Lead,2,Documentation and evidence,"Review the incident pattern, not just the incident","The {role} should review {preferredName}'s incident records at least fortnightly, looking for patterns of time, subject, setting or person, and change the plan where a pattern is clear, so the response addresses the cause rather than repeating the consequence.",at least fortnightly,Pattern analysis with documented changes to the plan,patterns identified; changes made and their effect,,Managing One’s Own Behaviour
R-BEH-04,Behaviour Lead,2,Behaviour and engagement,Check consequences against the plan,"The {role} should check any consequence, suspension or referral proposed for {preferredName} against the plan and the identified disability-related need before it is applied, so a response to disability-related behaviour is not treated as a simple choice.",before any consequence or referral is applied,Plan checked and the decision recorded with its reasoning,consequences applied and their consistency with the plan,,Managing One’s Own Behaviour
R-CT-01,Classroom Teacher,1,Coordination and planning,Raise implementation barriers rather than dropping the adjustment,"The {role} should raise with the plan coordinator any adjustment for {preferredName} that cannot be implemented as written, within a fortnight of the problem appearing, so it is redesigned rather than quietly dropped.",within a fortnight of any implementation problem,Direct written or verbal notification with the specific barrier named,barriers raised and what was agreed instead,,Undertaking Tasks Independently
R-CT-02,Classroom Teacher,1,Documentation and evidence,Bring specific evidence to the review,"The {role} should bring specific evidence to each review of {preferredName}'s plan — what was tried, what happened, work samples and the level of support needed — rather than a general impression, so decisions rest on classroom reality.",before each review meeting,"Short written evidence per adjustment, with work samples where relevant",evidence supplied per adjustment; decisions changed by it,,Solving Problems
R-CT-03,Classroom Teacher,1,Staff capability and briefing,Brief the relief teacher before a planned absence,"The {role} should leave the class summary of {preferredName}'s adjustments for any relief teacher before a planned absence, including what to do if things are difficult, so a day with a different teacher is not a day without adjustments.",before every planned absence,Written summary left with the lesson plan,days with relief staff and how they went,,Carrying Out Daily Routines
R-CT-04,Classroom Teacher,1,Whole-school practice,Keep teaching and quality first teaching in place,"The {role} should continue to teach, assess and plan for {preferredName} alongside any targeted or intensive support, keeping responsibility for {preferredName}'s learning rather than transferring it to the support staff working with them.",every lesson,"Teacher-led planning, teaching and assessment continues at every level of support",teacher-set goals and progress against them; who directs the support in the room,,Focusing and Directing Attention
