id,domain,activity,level,category,who_leads,who_else,required_qualification,wording,access_outcome,context,frequency,intensity_summary,evidence_to_monitor,student_voice_prompt,how_support_fades,status
D1-A01-PE-01,Learning and Applying Knowledge,Watching,Present Environment,Instruction & explanation,Classroom Teacher,,,Maintain ordinary accessible supports and resources in the setting,"access visual information, demonstrations, images or screen-based content",visual information; demonstrations; images; screen-based content,as part of everyday practice,Ordinary supports/resources available in the setting,"key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-DT-01A,Learning and Applying Knowledge,Watching,Differentiated Teaching,Instruction & explanation,Classroom Teacher,Education Support Staff,,Help {preferredName} identify key features of visual information,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-DT-01B,Learning and Applying Knowledge,Watching,Differentiated Teaching,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide occasional reminders to use visual aids,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-DT-01C,Learning and Applying Knowledge,Watching,Differentiated Teaching,Instruction & explanation,Classroom Teacher,Education Support Staff,,Enable and model relevant classroom accessibility settings,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-01A,Learning and Applying Knowledge,Watching,Supplementary,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide enlarged text,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-01B,Learning and Applying Knowledge,Watching,Supplementary,Environment & routines,Classroom Teacher,Education Support Staff,,Reduce visual clutter in materials or the immediate work area,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-01C,Learning and Applying Knowledge,Watching,Supplementary,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide verbal description of key visual information,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-01D,Learning and Applying Knowledge,Watching,Supplementary,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide recorded instructions,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-02,Learning and Applying Knowledge,Watching,Supplementary,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide planned rest breaks,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-03A,Learning and Applying Knowledge,Watching,Supplementary,Instruction & explanation,Classroom Teacher,Education Support Staff,,"Say {preferredName}'s name before speaking to {himherthem}, and read aloud whatever is written or pointed to",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,"whenever information is written, shown or demonstrated","Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-03B,Learning and Applying Knowledge,Watching,Supplementary,Task & materials,Classroom Teacher,Education Support Staff,,Give {preferredName} a copy of board and screen content at {hishertheir} desk or on {hishertheir} device,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,whenever board or screen content is used,"Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
